row,name,code,tweet,follow
327,天壕环境,300332,2518.0,12636.0
328,苏大维格,300331,7463.0,20120.0
329,华虹计通,300330,2496.0,12774.0
330,海伦钢琴,300329,8590.0,37864.0
331,宜安科技,300328,5843.0,20829.0
332,中颖电子,300327,14538.0,55491.0
333,凯利泰,300326,5815.0,15580.0
334,德威新材,300325,1436.0,5038.0
335,旋极信息,300324,3298.0,14568.0
336,华灿光电,300323,2693.0,6808.0
337,硕贝德,300322,9111.0,71743.0
338,同大股份,300321,1546.0,5696.0
339,海达股份,300320,1454.0,4206.0
340,麦捷科技,300319,2881.0,10226.0
341,博晖创新,300318,4597.0,17173.0
342,珈伟股份,300317,4042.0,10151.0
343,晶盛机电,300316,3385.0,12526.0
344,掌趣科技,300315,35869.0,92268.0
345,戴维医疗,300314,8949.0,23001.0
346,天山生物,300313,1350.0,9710.0
347,邦讯技术,300312,4514.0,36622.0
348,任子行,300311,7157.0,17189.0
349,宜通世纪,300310,5253.0,14515.0
350,吉艾科技,300309,5378.0,21147.0
351,中际装备,300308,2079.0,6469.0
352,慈星股份,300307,3978.0,15603.0
353,远方光电,300306,2427.0,9460.0
354,裕兴股份,300305,747.0,3282.0
355,云意电气,300304,9119.0,22546.0
356,聚飞光电,300303,2534.0,15125.0
357,同有科技,300302,3391.0,12596.0
358,长方集团,300301,1711.0,3973.0
359,汉鼎宇佑,300300,5791.0,25580.0
360,富春股份,300299,3348.0,15751.0
361,三诺生物,300298,7696.0,34666.0
362,蓝盾股份,300297,6580.0,22395.0
363,利亚德,300296,12940.0,39377.0
364,三六五网,300295,3566.0,18890.0
365,博雅生物,300294,11170.0,34863.0
366,蓝英装备,300293,3811.0,17623.0
367,吴通控股,300292,4014.0,10182.0
368,华录百纳,300291,3980.0,14602.0
369,荣科科技,300290,2318.0,8839.0
370,利德曼,300289,4260.0,15414.0
371,朗玛信息,300288,8713.0,23083.0
372,飞利信,300287,4457.0,16024.0
373,安科瑞,300286,3792.0,8283.0
374,国瓷材料,300285,2571.0,9889.0
375,苏交科,300284,4555.0,15275.0
376,温州宏丰,300283,971.0,2695.0
